title,content,tokens
Page 21,"BUILDING A SECOND BRAIN10 As my ability to express myself continued to deteriorate, my discouragement turned to despair. Without the ability to speak freely, so much of what life had to offer—friendships, dating, traveling, and finding a career I was passionate about—seemed like it was slipping away from me. It felt like a dark curtain was being drawn over the stage of my life before I even had a chance to start my performance. A Personal Turning Point—Discovering the Power of Writing Things Down One day, sitting in yet another doctor’s office waiting for yet another visit, I had an epiphany. I realized in a flash that I was at a cross-roads. I could either take responsibility for my own health and my own treatment from that day forward, or I would spend the rest of my life shuttling back and forth between doctors without ever find - ing resolution. I took out my journal and began to write what I was feeling and thinking. I wrote out the history of my condition, through my own lens and in my own words, for the first time. I listed which treatments had helped and which hadn’t. I wrote down what I wanted and didn’t want, what I was willing to sacrifice and what I wasn’t, and what it would mean to me to escape the world of pain I felt trapped within. As the story of my health began to take shape on the page, I knew what I needed to do. I stood up abruptly, walked over to the recep - tionist, and asked for my complete patient record. She looked at me quizzically, but after I answered a few questions, she turned to her files and began making photocopies. My patient record amounted to hundreds of pages, and I knew I would never be able to keep track of them on paper. I started scanning every page on my family’s home computer, turning them into digital records that could be searched, rearranged, annotated, and shared. I 2P_Forte_BuildingASecondBrain_AK.indd 102P_Forte_BuildingASecondBrain_AK.indd 10 2/14/22 3:39 PM2/14/22 3:39 PM",472
Page 22,"WHERE IT ALL STARTED 11 became the project manager of my own condition, taking detailed notes on everything my doctors told me, trying out every suggestion they made, and generating questions to review during my next appointment. With all this information in one place, patterns began to emerge. With my doctors’ help, I discovered a class of afflictions called “func-tional voice disorders,” which included problems with any of the more than fifty pairs of muscles required to properly swallow a piece of food. I realized that the medications I was taking were masking my symptoms, and in the process making it harder to hear what they were telling me. What I had was not an illness or infection that could be eradicated with a pill—it was a functional condition that required changes in how I took care of my body. I began to research how breathing, nutrition, vocal habits, and even past experiences in childhood can be manifested in the nervous system. I started to understand the mind-body connection and how my thoughts and feelings directly impacted the way my body felt. Taking notes on everything I learned, I devised an experiment: I would try a few simple lifestyle changes, such as improving my diet and regular meditation, combined with a series of voice exercises I learned from a voice thera - pist. To my shock and amazement, it began to work almost immedi - ately. My pain didn’t disappear, but it became far more manageable. * As I look back, my notes were as important in finding relief as any medicine or procedure. They gave me the chance to step back from the details of my condition and see my situation from a different perspective. For both the outer world of medicine and the inner world of sensations, my notes were a practical medium for turning any new information I encountered into practical solutions I could use. * I was aided in this effort by my involvement with the Quantified Self community, a network of local meetup groups in which people share their stories about how they track their health, productivity, mood, or behavior to learn more about themselves. 2P_Forte_BuildingASecondBrain_AK.indd 112P_Forte_BuildingASecondBrain_AK.indd 11 2/14/22 3:39 PM2/14/22 3:39 PM",477
Page 23,"BUILDING A SECOND BRAIN12 From then on, I became obsessed with the potential of technol - ogy to channel the information all around me. I began to realize that the simple act of taking notes on a computer was the tip of an iceberg. Because once made digital, notes were no longer limited to short, handwritten scribbles—they could take any form, including images, links, and files of any shape and size. In the digital realm, informa - tion could be molded and shaped and directed to any purpose, like a magical, primordial force of nature. I started using digital notetaking in other parts of my life. In my college classes, I turned stacks of disheveled spiral-bound notebooks into an elegant, searchable collection of lessons. I learned to master the process of writing down only the most important points from my classes, reviewing them on demand, and using them to compose an essay or pass a test. I had always been a mediocre student with average grades. My early schoolteachers would regularly send me home with report cards noting my short attention span and wandering mind. You can imagine my delight when I graduated from college with a nearly straight-A grade point average and university honors. I had the misfortune of graduating into one of the worst job markets in a generation, in the aftermath of the 2008 financial crisis. Faced with few employment opportunities in the United States, I decided to join the Peace Corps, an overseas volunteer program that sends Americans to serve in developing countries. I was accepted and assigned to a small school in the eastern Ukrainian countryside, where I would spend two years teaching English to students aged eight to eighteen. Working as a teacher with few resources and little support, my notetaking system once again became my lifeline. I saved examples of lessons and exercises anywhere I found them: from textbooks, websites, and USB drives passed around by other teachers. I mixed and matched English phrases, expressions, and slang into word games 2P_Forte_BuildingASecondBrain_AK.indd 122P_Forte_BuildingASecondBrain_AK.indd 12 2/14/22 3:39 PM2/14/22 3:39 PM",458
Page 24,"WHERE IT ALL STARTED 13 to keep my energetic third graders engaged. I taught the older students the basics of personal productivity—how to keep a schedule, how to take notes in class, and how to set goals and plan their education. I will never forget their appreciation as they grew up and used those skills to apply to universities and succeed in their first jobs. Years later, I still regularly receive messages of gratitude as the productivity skills I taught my former students continue to bear fruit in their lives. I returned to the US after two years of service and was thrilled to land a job as an analyst at a small consulting firm in San Francisco. As excited as I was to start my career, I was also faced with a major challenge: the pace of work was frantic and overwhelming. Moving straight from rural Ukraine to the epicenter of Silicon Valley, I was utterly unprepared for the constant barrage of inputs that is a normal part of modern workplaces. Every day I received hundreds of emails, every hour dozens of messages, and the pings and dings from every device merged into a ceaseless melody of interruption. I remember looking around at my colleagues and wondering, “How can anyone get anything done here? What’s their secret?” I knew only one trick, and it started with writing things down.I started taking notes on everything I was learning using a note - taking app on my computer. I took notes during meetings, on phone calls, and while doing research online. I wrote down facts gleaned from research papers that could be used in the slides we presented to clients. I wrote down tidbits of insight I came across on social media, to share on our own social channels. I wrote down feedback from my more experienced colleagues so I could make sure I digested it and took it to heart. Every time we started a new project, I created a dedi - cated place on my computer for the information related to it, where I could sort through it all and decide on a plan of action. As the information tide receded, I started to gain a sense of confi - dence in my ability to find exactly what I needed when I needed it. 2P_Forte_BuildingASecondBrain_AK.indd 132P_Forte_BuildingASecondBrain_AK.indd 13 2/14/22 3:39 PM2/14/22 3:39 PM",499
Page 25,"BUILDING A SECOND BRAIN14 I became the go-to person in the office for finding that one file, or unearthing that one fact, or remembering exactly what the client had said three weeks earlier. You know the feeling of satisfaction when you are the only one in the room who remembers an important detail? That feeling became the prize in my personal pursuit to capitalize on the value of what I knew. Another Shift—Discovering the Power of Sharing My collection of notes and files had always been for my own personal use, but as I worked on consulting projects for some of the most important organizations in the world, I started to realize that it could be a business asset as well. I learned from one of the reports we published that the value of physical capital in the US—land, machinery, and buildings for example—is about $10 trillion, but that value is dwarfed by the total value of human capital, which is estimated to be five to ten times larger. Human capital includes “the knowledge and the knowhow embodied in humans—their education, their experience, their wisdom, their skills, their relationships, their common sense, their intuition.” 1 If that was true, was it possible that my personal collection of notes was a knowledge asset that could grow and compound over time? I began to see my as-yet-unnamed Second Brain not just as a notetaking tool but as a loyal confidant and thought partner. When I was forgetful, it always remembered. When I lost my way, it reminded me where we were going. When I felt stuck and at a loss for ideas, it suggested possibilities and pathways. At one point some of my colleagues asked me to teach them my organizing methods. I found that virtually all of them already used various productivity tools, such as paper notepads or the apps on their smartphones, but that very few did so in a systematic, intentional 2P_Forte_BuildingASecondBrain_AK.indd 142P_Forte_BuildingASecondBrain_AK.indd 14 2/14/22 3:39 PM2/14/22 3:39 PM",446
Page 26,"WHERE IT ALL STARTED 15 way. They tended to move information around from place to place haphazardly, reacting to the demands of the moment, never quite trusting that they’d be able to find it again. Every new productivity app promised a breakthrough, but usually ended up becoming yet another thing to manage. Casual lunchtime chats with my colleagues turned into a book club, which became a workshop, which eventually evolved into a paid class open to the public. As I taught what I knew to more and more people and saw the immediate difference it made in their work and lives, it began to dawn on me that I had discovered something very special. My experience managing my chronic condition had taught me a way of getting organized that was ideal for solving problems and producing results now, not in some far-off future. Applying that approach to other areas of my life, I had found a way to organize information holistically—for a variety of purposes, for any project or goal—instead of only for one-off tasks. And more than that, I discov - ered that once I had that information at hand, I could easily and generously share it in all kinds of ways to serve the people around me. The Origins of the Second Brain System I began to call the system I had developed my Second Brain and started a blog to share my ideas about how it worked. These ideas reso - nated with a much wider audience than I ever expected, and my work was eventually featured in publications such as the Harvard Business Review , The Atlantic , Fast Company , and Inc. , among others. An arti - cle I wrote about how to use digital notetaking to enhance creativ - ity went viral in the productivity community, and I was invited to speak and teach workshops at influential companies like Genentech, Toyota, and the Inter-American Development Bank. In early 2017, I decided to create an online course called “Building a Second Brain” 2P_Forte_BuildingASecondBrain_AK.indd 152P_Forte_BuildingASecondBrain_AK.indd 15 2/14/22 3:39 PM2/14/22 3:39 PM",456
Page 27,"BUILDING A SECOND BRAIN16 to teach my system on a wider scale. * In the years since, that program has produced thousands of graduates from more than one hundred countries and every walk of life, creating an engaged and inquisi - tive community where the lessons in this book have been honed and refined. In the next couple of chapters, I’ll show you how the practice of creating a Second Brain is part of a long legacy of thinkers and creators who came before us—writers, scientists, philosophers, lead - ers, and everyday people who strived to remember and achieve more. Then I’ll introduce you to a few basic principles and tools you’ll need to set yourself up to succeed. Part Two, “The Method,” introduces each of the four steps you’ll follow to build a Second Brain so you can immediately begin to capture and share ideas with more intention. And Part Three, “Making Things Happen,” offers a set of powerful ways to use your Second Brain to enhance your productivity, accom - plish your goals, and thrive in your work and life. I’ve shared my story with you because I want you to know that this book isn’t about perfectly optimizing some kind of idealized life. Everyone experiences pain, makes mistakes, and struggles at some point in their lives. I’ve had my fair share of challenges, but at each stage of my journey, treating my thoughts as treasures worth keeping has been the pivotal element in everything I’ve overcome and achieved. You may find this book in the “self-improvement” category, but in a deeper sense it is the opposite of self-improvement. It is about opti - mizing a system outside yourself , a system not subject to your limita - tions and constraints, leaving you happily unoptimized and free to roam, to wonder, to wander toward whatever makes you feel alive here and now in each moment. * Interested readers can find out more at buildingasecondbrain.com/course. 2P_Forte_BuildingASecondBrain_AK.indd 162P_Forte_BuildingASecondBrain_AK.indd 16 2/14/22 3:39 PM2/14/22 3:39 PM",486
Page 28,"17Chapter 2 What Is a Second Brain? We extend beyond our limits, not by revving our brains like a machine or bulking them up like a muscle—but by strewing our world with rich materials, and by weaving them into our thoughts. —Annie Murphy Paul, author of The Extended Mind Information is the fundamental building block of everything you do. Anything you might want to accomplish—executing a project at work, getting a new job, learning a new skill, starting a business— requires finding and putting to use the right information. Your professional success and quality of life depend directly on your ability to manage information effectively. According to the New York Times , the average person’s daily consumption of information now adds up to a remarkable 34 giga - bytes. 1 A separate study cited by the Times estimates that we consume the equivalent of 174 full newspapers’ worth of content each and every day, five times higher than in 1986. 2 Instead of empowering us, this deluge of information often over - whelms us. Information Overload has become Information Exhaus-tion, taxing our mental resources and leaving us constantly anxious 2P_Forte_BuildingASecondBrain_AK.indd 172P_Forte_BuildingASecondBrain_AK.indd 17 2/14/22 3:39 PM2/14/22 3:39 PM",287
Page 29,"BUILDING A SECOND BRAIN18 that we’re forgetting something. Instantaneous access to the world’s knowledge through the Internet was supposed to educate and inform us, but instead it has created a society-wide poverty of attention. * Research from Microsoft shows that the average US employee spends 76 hours per year looking for misplaced notes, items, or files.3 And a report from the International Data Corporation found that 26 percent of a typical knowledge worker’s day is spent looking for and consolidating information spread across a variety of systems. 4 Incred - ibly, only 56 percent of the time are they able to find the information required to do their jobs. In other words, we go to work five days per week, but spend more than one of those days on average just looking for the information we need to do our work. Half the time, we don’t even succeed in doing that. It’s time for us to upgrade our Paleolithic memory. It’s time to acknowledge that we can’t “use our head” to store everything we need to know and to outsource the job of remembering to intelli - gent machines. We have to recognize that the cognitive demands of modern life increase every year, but we’re still using the same brains as two hundred thousand years ago, when modern humans first emerged on the plains of East Africa. Every bit of energy we spend straining to recall things is energy not spent doing the thinking that only humans can do: inventing new things, crafting stories, recognizing patterns, following our intu - ition, collaborating with others, investigating new subjects, making plans, testing theories. Every minute we spend trying to mentally juggle all the stuff we have to do leaves less time for more meaningful * Herbert Simon, an American economist and cognitive psychologist, wrote, “What informa- tion consumes is rather obvious: it consumes the attention of its recipients. Hence a wealth of information creates a poverty of attention . . .” 2P_Forte_BuildingASecondBrain_AK.indd 182P_Forte_BuildingASecondBrain_AK.indd 18 2/14/22 3:39 PM2/14/22 3:39 PM",470
Page 30,"WHAT IS A SECOND BRAIN ? 19 pursuits like cooking, self-care, hobbies, resting, and spending time with loved ones. However, there’s a catch: every change in how we use technology also requires a change in how we think. To properly take advantage of the power of a Second Brain, we need a new relationship to informa - tion, to technology, and even to ourselves. The Legacy of Commonplace Books For insight into our own time, we can look to history for lessons on what worked in other eras. The practice of writing down one’s thoughts and notes to help make sense of the world has a long legacy. For centuries, artists and intellectuals from Leonardo da Vinci to Virginia Woolf, from John Locke to Octavia Butler, have recorded the ideas they found most interesting in a book they carried around with them, known as a “commonplace book.” * Popularized in a previous period of information overload, the Industrial Revolution of the eighteenth and early nineteenth centu - ries, the commonplace book was more than a diary or journal of personal reflections. It was a learning tool that the educated class used to understand a rapidly changing world and their place in it. In The Case for Books , 5 historian and former director of the Harvard University Library Robert Darnton explains the role of commonplace books: Unlike modern readers, who follow the flow of a narrative from beginning to end, early modern Englishmen read in fits and * The word “commonplace” can be traced back to Ancient Greece, where a speaker in law courts or political meetings would keep an assortment of arguments in a “common place” for easy reference. 2P_Forte_BuildingASecondBrain_AK.indd 192P_Forte_BuildingASecondBrain_AK.indd 19 2/14/22 3:39 PM2/14/22 3:39 PM",398
Page 31,"BUILDING A SECOND BRAIN20 starts and jumped from book to book. They broke texts into frag - ments and assembled them into new patterns by transcribing them in different sections of their notebooks. Then they reread the copies and rearranged the patterns while adding more excerpts. Reading and writing were therefore inseparable activities. They belonged to a continuous effort to make sense of things, for the world was full of signs: you could read your way through it; and by keeping an account of your readings, you made a book of your own, one stamped with your personality. * Commonplace books were a portal through which educated people interacted with the world. They drew on their notebooks in conver - sation and used them to connect bits of knowledge from different sources and to inspire their own thinking. As a society, all of us could benefit from the modern equivalent of a commonplace book. The media landscape of today is oriented toward what is novel and public —the latest political controversy, the new celebrity scandal, or the viral meme of the day. Resurrecting the commonplace book allows us to stem the tide, shifting our relation - ship with information toward the timeless and the private . Instead of consuming ever-greater amounts of content, we could take on a more patient, thoughtful approach that favors rereading, reformulating, and working through the implications of ideas over time. Not only could this lead to more civil discussions about the important topics of the day; it could also preserve our mental health and heal our splintered attention. * The practice of keeping personal notes also arose in other countries, such as biji in China (roughly translated as “notebook”), which could contain anecdotes, quotations, random mus- ings, literary criticism, short fictional stories, and anything else that a person thought worth recording. In Japan, zuihitsu (known as “pillow books”) were collections of notebooks used to document a person’s life. 2P_Forte_BuildingASecondBrain_AK.indd 202P_Forte_BuildingASecondBrain_AK.indd 20 2/14/22 3:39 PM2/14/22 3:39 PM",459
Page 32,"WHAT IS A SECOND BRAIN ? 21 But this isn’t simply a return to the past. We now have the oppor - tunity to supercharge the custom of commonplace books for the modern era. We have the chance to turn that historical practice into something far more flexible and convenient. The Digital Commonplace Book Once our notes and observations become digital, they can be searched, organized and synced across all our devices, and backed up to the cloud for safekeeping. Instead of randomly scribbling down notes on pieces of paper, hoping we’ll be able to find them later, we can cultivate our very own “knowledge vault” so we always know exactly where to look. Writer and photographer Craig Mod wrote, “There is a gaping opportunity to consolidate our myriad marginalia * into an even more robust commonplace book. One searchable, always accessible, easily shared and embedded amongst the digital text we consume.” 6 This digital commonplace book is what I call a Second Brain. Think of it as the combination of a study notebook, a personal jour - nal, and a sketchbook for new ideas. It is a multipurpose tool that can adapt to your changing needs over time. In school or courses you take, it can be used to take notes for studying. At work, it can help you organize your projects. At home, it can help you manage your household. However you decide to use it, your Second Brain is a private knowledge collection designed to serve a lifetime of learning and growth, not just a single use case. It is a laboratory where you can develop and refine your thinking in solitude before sharing it with * “Marginalia” refers to the marks made in the margins of a book or other document, including scribbles, comments, annotations, critiques, doodles, or illustrations. 2P_Forte_BuildingASecondBrain_AK.indd 212P_Forte_BuildingASecondBrain_AK.indd 21 2/14/22 3:39 PM2/14/22 3:39 PM",431
Page 33,"BUILDING A SECOND BRAIN22 others. A studio where you can experiment with ideas until they are ready to be put to use in the outside world. A whiteboard where you can sketch out your ideas and collaborate on them with others. As soon as you understand that we naturally use digital tools to extend our thinking beyond the bounds of our skulls, you’ll start to see Second Brains everywhere. A calendar app is an extension of your brain’s ability to remember events, ensuring you never forget an appointment. Your smartphone is an extension of your ability to communicate, allowing your voice to reach across oceans and continents. Cloud storage is an extension of your brain’s memory, allowing you to store thousands of gigabytes and access them from anywhere. * It’s time to add digital notes to our repertoire and further enhance our natural capabilities using technology. Rethinking Notetaking: Notes as Knowledge Building Blocks In past centuries, only the intellectual elite needed commonplace books—writers, politicians, philosophers, and scientists who had a reason to synthesize their writing or research. Nowadays, almost everyone needs a way to manage information.More than half the workforce today can be considered “knowl - edge workers”—professionals for whom knowledge is their most * Have you ever lost your smartphone or been unable to access the Internet, and felt like a critical part of yourself was missing? That’s a sign that an external tool has become an extension of your mind. In a 2004 study, Angelo Maravita and Atsushi Iriki discovered that when mon-keys and humans consistently use a tool to extend their reach, such as using a rake to reach an object, certain neural networks in the brain change their “map” of the body to include the new tool. This fascinating finding reinforces the idea that external tools can and often do become a natural extension of our minds. 2P_Forte_BuildingASecondBrain_AK.indd 222P_Forte_BuildingASecondBrain_AK.indd 22 2/14/22 3:39 PM2/14/22 3:39 PM",447
